date, pm25, pm10, o3, no2, so2, co
2023/4/17, 54, 33, 3, 21, 10, 4
2023/4/18, 50, 33, 4, 22, 10, 3
2023/4/19, 49, 47, 3, 22, 10, 4
2023/4/20, 74, 52, 3, 25, 10, 5
2023/4/21, 85, 42, 4, 23, 10, 4
2023/4/22, 65, 31, 3, 19, 10, 2
2023/4/23, 48, 21, 3, 20, 10, 2
2023/4/24, 31, 17, 4, 20, 10, 2
2023/4/25, 25, 22, 3, 20, 10, 2
2023/4/26, 30, 24, 4, 21, 10, 3
2023/4/27, 33, 27, 5, 21, 10, 2
2023/4/28, 38, 28, 4, 21, 10, 2
2023/4/29, 41, 20, 3, 21, 10, 2
2023/4/30, 30, 20, 3, 20, 10, 2
2023/5/1, 28, 17, 4, 20, 10, 2
2023/5/2, 25, 21, 4, 20, 10, 2
2023/5/3, 30, 20, 3, 20, 10, 2
2023/5/4, 29, 19, 4, 22, 10, 3
2023/5/5, 27, 31, 4, 22, 10, 4
2023/5/6, 46, 39, 4, 24, 10, 4
2023/5/7, 59, 36, 4, 28, 10, 4
2023/5/8, 55, 26, 3, 20, 10, 5
2023/5/9, 39, 12, 3, 20, 10, 3
2023/5/10, 17, 10, 4, 20, 11, 3
2023/5/11, 13, 9, 3, 20, 11, 3
2023/5/12, 12, 8, 3, 20, 11, 2
2023/5/13, 11, 12, 3, 21, 11, 3
2023/5/14, 17, 12, 3, 22, 11, 4
2023/5/15, 16, 12, 3, 22, 11, 4
2023/5/16, 16, 18, 3, 22, 11, 4
2023/5/17, 24, 27, 3, 22, 11, 4
2023/5/18, 40, 28, 4, 22, 11, 4
2023/5/19, 40, 33, 3, 26, 11, 4
2023/5/20, 47, 23, 3, 22, 11, 3
2023/5/21, 33, 17, 2, 22, 11, 4
2023/5/22, 23, 19, 3, 24, 11, 4
2023/5/23, 27, 24, 3, 23, 11, 4
2023/5/24, 34, 12, 3, 22, 11, 3
2023/5/25, 17, 15, 4, 21, 11, 3
2023/5/26, 19, 16, 3, 24, 11, 4
2023/5/27, 22, 14, 4, 21, 11, 2
2023/5/28, 19, 17, 4, 21, 11, 3
2023/5/29, 24, 17, 3, 22, 11, 3
2023/5/30, 24, 20, 67, 21, 11, 3
2023/5/31, 27, 14, 44, 21, 11, 2
2023/6/1, 19, 19, 13, 22, 11, 2
2023/6/2, 26, 24, 5, 25, 11, 3
2023/6/3, 33, 23, 3, 24, 11, 4
2023/6/4, 32, 13, 3, 22, 11, 3
2023/6/5, 18, 9, 6, 23, 11, 3
2023/6/6, 12, 14, 4, 20, 11, 3
2023/6/7, 20, 20, 4, 22, 11, 3
2023/6/8, 29, 19, 4, 27, 11, 4
2023/6/9, 27, 14, 4, 29, 11, 3
2023/6/10, 20, 13, 4, 22, 11, 3
2023/6/11, 18, 17, 4, 28, , 4
2023/6/12, 24, 15, 3, 27, 11, 2
2023/6/13, 21, 21, 4, 27, 11, 3
2023/6/14, 30, 20, 3, 28, , 3
2023/6/15, 28, 22, 4, 24, , 3
2023/6/16, 31, , , , , 
2023/6/21, 16, 11, 3, 22, 11, 3
2023/6/22, 14, 11, 3, 22, 11, 3
2023/6/23, 15, 15, 4, 23, 11, 3
2023/6/24, 20, 16, 3, 26, 11, 3
2023/6/25, 22, 14, 4, 22, 12, 3
2023/6/26, 19, 14, 4, 21, 11, 2
2023/6/27, 20, 19, 4, 22, 11, 2
2023/6/28, 29, 15, 3, 23, 11, 4
2023/6/29, 22, 11, 3, 21, 12, 4
2023/6/30, 15, 12, 3, 23, 12, 4
2023/3/29, 23, 32, 12, 4, 30, 3
2023/3/30, 50, 18, 7, 15, 23, 2
2023/3/31, 17, 22, 4, 18, 10, 2
2021/12/21, 9, , 3, 2, 7, 2
2020/9/15, 3, , , 5, 2, 3
2020/9/17, 12, 10, 21, 9, 2, 7
2020/9/18, 6, , , 7, 2, 5
2020/9/22, 6, 9, 12, 3, 2, 2
2020/9/23, 11, 12, 17, 5, 2, 3
2020/9/24, 13, 10, 19, 6, , 4
2020/9/25, 12, 2, 10, 5, 2, 4
2020/9/26, 3, 138, 6, 7, 2, 6
2020/9/27, 152, , 16, 7, 2, 7
2020/4/1, 10, 6, , 5, 5, 2
2020/4/2, 10, 9, , 6, 5, 2
2020/4/3, 14, 7, , 4, 5, 2
2020/4/4, 12, 5, , 4, 5, 2
2020/4/5, 9, 6, , 5, 5, 2
2020/4/6, 11, 7, , 5, 5, 3
2020/4/7, 12, 7, , 7, 5, 3
2020/4/8, 13, 10, , 6, 5, 4
2020/4/9, 17, 8, , 6, 5, 4
2020/4/10, 15, 8, , 5, 5, 2
2020/4/11, 15, 7, , 5, 5, 2
2020/4/12, 12, 9, , 10, 5, 4
2020/4/13, 16, 7, , 8, 5, 3
2020/4/14, 12, 10, , 6, 5, 2
2020/4/15, 15, 10, , 6, 5, 2
2020/4/16, 16, 9, , 5, 5, 2
2020/4/17, 15, 8, , 4, 5, 2
2020/4/18, 14, 6, , 4, 5, 2
2020/4/19, 10, 7, , 4, 5, 3
2020/4/20, 13, 9, , 5, 5, 3
2020/4/21, 14, 7, , 5, 5, 2
2020/4/22, 12, 7, , 4, 5, 2
2020/4/23, 11, 6, , 4, 5, 2
2020/4/24, 8, 5, , 5, 5, 2
2020/4/25, 8, 4, , 3, 5, 1
2020/4/26, 7, 6, , 3, 5, 1
2020/4/27, 7, 13, , 5, 5, 2
2020/4/28, 16, 13, , 5, 5, 2
2020/4/29, 15, 10, , 5, 5, 2
2020/4/30, 10, 11, , 4, 5, 2
2020/5/1, 14, 8, , 3, 5, 2
2020/5/2, 9, 7, , 4, 5, 2
2020/5/3, 10, 7, , 5, 5, 2
2020/5/4, 9, 11, , 7, 5, 3
2020/5/5, 11, 19, , 7, 5, 3
2020/5/6, 15, 12, , 8, 5, 3
2020/5/7, 11, 7, , 7, 5, 3
2020/5/8, 8, 13, , 7, 5, 3
2020/5/9, 12, 9, , 6, 6, 3
2020/5/10, 11, 11, , 6, 6, 3
2020/5/11, 13, 9, , 4, 6, 2
2020/5/12, 12, 9, , 5, 5, 2
2020/5/13, 13, 7, , 5, 6, 2
2020/5/14, 12, 12, , 6, 5, 3
2020/5/15, 14, 12, , 8, 6, 4
2020/5/16, 14, 10, , 7, 6, 3
2020/5/17, 13, 20, , 12, 6, 5
2020/5/18, 26, 21, , 14, 6, 6
2020/5/19, 24, 19, , 12, 6, 5
2020/5/20, 24, 18, , 10, 6, 3
2020/5/21, 20, 18, , 12, 7, 5
2020/5/22, 18, 19, , 11, 6, 5
2020/5/23, 19, 15, , 11, 7, 4
2020/5/24, 17, 12, , 11, 6, 4
2020/5/25, 11, 12, , 10, 6, 4
2020/5/26, 12, 11, , 10, 6, 5
2020/5/27, 15, 18, , 9, 6, 4
2020/5/28, 18, 18, , 9, 6, 4
2020/5/29, 19, 14, , 11, 6, 4
2020/5/30, 14, 6, , 5, 7, 2
2020/5/31, 7, 9, , 7, 27, 3
2020/6/1, 11, 16, , 9, 6, 4
2020/6/2, 14, 11, , 9, 6, 3
2020/6/3, 14, 16, , 11, 6, 4
2020/6/4, 21, 17, , 10, 6, 5
2020/6/5, 17, 24, , 11, 12, 5
2020/6/6, 20, 21, , 8, 1, 4
2020/6/7, 19, 19, , 13, 1, 5
2020/6/8, 17, 18, , 13, 1, 5
2020/6/9, 20, 16, , 12, 1, 5
2020/6/10, 18, 12, , 10, 1, 4
2020/6/11, 16, 15, , 11, 1, 5
2020/6/12, 20, 19, , 15, 1, 6
2020/6/13, 20, 17, , 13, 1, 5
2020/6/14, 18, 3, , 8, 1, 6
2020/1/1, 5, 5, , , 4, 1
2020/1/2, 8, 6, , , 4, 1
2020/1/3, 8, 6, , , 4, 1
2020/1/4, 8, 7, , , 4, 2
2020/1/5, 9, 16, , , 4, 5
2020/1/6, 23, 14, , , 4, 3
2020/1/7, 18, 7, , , 4, 2
2020/1/8, 9, 9, , , 4, 3
2020/1/9, 11, 13, , , 4, 4
2020/1/10, 17, 13, , , 4, 3
2020/1/11, 16, 6, , , 4, 2
2020/1/12, 9, 10, , , 4, 3
2020/1/13, 14, 15, , , 4, 3
2020/1/14, 21, 18, , , 4, 5
2020/1/15, 26, 25, , , 4, 4
2020/1/16, 42, 19, , , 4, 3
2020/1/17, 32, 13, , , 4, 3
2020/1/18, 22, 12, , , 4, 3
2020/1/19, 18, 10, , , 4, 3
2020/1/20, 15, 11, , , 4, 2
2020/1/21, 15, 11, , , 4, 4
2020/1/22, 18, 13, , , 4, 4
2020/1/23, 21, 14, , , 4, 4
2020/1/24, 23, 11, , , 4, 4
2020/1/25, 20, 7, , , 4, 2
2020/1/26, 11, 5, , , 4, 3
2020/1/27, 8, 8, , , 4, 4
2020/1/28, 14, 6, , , 4, 3
2020/1/29, 11, 4, , , 4, 2
2020/1/30, 6, 10, , , 4, 2
2020/1/31, 18, 11, , , 4, 3
2020/2/1, 19, 9, , , 4, 3
2020/2/2, 15, 11, , , 4, 3
2020/2/3, 20, 10, , , 4, 3
2020/2/4, 16, 10, , , , 2
2020/2/5, 17, 12, , , , 3
2020/2/6, 19, 9, , , , 3
2020/2/7, 16, 4, , , , 1
2020/2/8, 8, 7, , , , 2
2020/2/9, 12, 8, , , , 3
2020/2/10, 14, 8, , , , 2
2020/2/11, 14, 8, , , , 2
2020/2/12, 15, 6, , , , 2
2020/2/13, 11, 7, , , 4, 3
2020/2/14, 12, 5, , , 5, 2
2020/2/15, 9, , , , , 
2020/2/18, 12, 12, , , 4, 3
2020/2/19, 21, 9, , , 4, 3
2020/2/20, 15, 6, , , 4, 1
2020/2/21, 10, 5, , , 4, 1
2020/2/22, 10, 6, , , 4, 1
2020/2/23, 10, 8, , , 4, 2
2020/2/24, 13, 8, , , 4, 2
2020/2/25, 11, 4, , , 4, 1
2020/2/26, 6, 7, , , 4, 2
2020/2/27, 7, 7, , , 4, 2
2020/2/28, 9, 6, , , 5, 3
2020/2/29, 8, 10, , , 5, 4
2020/3/1, 16, 8, , 5, 5, 2
2020/3/2, 11, 5, , 6, 4, 2
2020/3/3, 8, 7, , 7, 4, 3
2020/3/4, 10, 8, , 8, 5, 3
2020/3/5, 13, 7, , 7, 5, 2
2020/3/6, 11, 10, , 8, 5, 3
2020/3/7, 13, 10, , 7, 4, 3
2020/3/8, 16, 11, , 8, 5, 4
2020/3/9, 18, 18, , 9, 5, 4
2020/3/10, 32, 6, , 2, 5, 1
2020/3/11, 10, 10, , 5, 5, 3
2020/3/12, 14, 10, , 5, 5, 3
2020/3/13, 15, 12, , 7, 5, 3
2020/3/14, 18, 8, , 6, 5, 2
2020/3/15, 13, 10, , 6, 4, 2
2020/3/16, 15, 14, , 8, 5, 3
2020/3/17, 22, 14, , 8, 7, 3
2020/3/18, 23, 10, , 7, 5, 3
2020/3/19, 17, 10, , 6, 5, 2
2020/3/20, 15, 11, , 6, 5, 3
2020/3/21, 18, 4, , 1, 5, 1
2020/3/22, 8, 7, , 7, , 3
2020/3/23, 12, 9, , 7, , 2
2020/3/24, 13, 7, , 5, , 2
2020/3/25, 13, 7, , 5, , 2
2020/3/26, 11, 8, , 7, , 3
2020/3/27, 13, , , , , 
2019/10/21, 40, 35, , , 3, 3
2019/10/22, 70, 46, , , 3, 2
2019/10/23, 103, , , , , 
2019/10/28, 43, , , , 3, 3
2019/11/8, 48, 24, , , 11, 4
2019/11/9, 44, 7, , , 5, 3
2019/11/10, 16, 5, , , 2, 4
2019/11/11, 6, 9, , , 2, 3
2019/11/12, 16, 12, , , 2, 3
2019/11/13, 25, 11, , , 2, 2
2019/11/14, 19, 26, , , 2, 5
2019/11/15, 47, 20, , , 2, 3
2019/11/16, 36, 22, , , 3, 4
2019/11/17, 25, 19, , , 3, 4
2019/11/18, 21, 15, , , 3, 4
2019/11/19, 18, 19, , , 3, 4
2019/11/20, 22, 17, , , 3, 2
2019/11/21, 20, 14, , , 3, 2
2019/11/22, 17, 23, , , 3, 7
2019/11/23, 25, 12, , , 3, 3
2019/11/24, 17, 12, , , 3, 3
2019/11/25, 13, 14, , , 3, 2
2019/11/26, 17, 20, , , 2, 1
2019/11/27, 26, 18, , , 2, 1
2019/11/28, 25, 16, , , 2, 3
2019/11/29, 22, 18, , , 2, 2
2019/11/30, 23, 15, , , 2, 3
2019/12/1, 18, 13, , , 3, 2
2019/12/2, 18, 16, , , 3, 3
2019/12/3, 21, 14, , , 3, 2
2019/12/4, 19, 13, , , 3, 4
2019/12/5, 15, 7, , , 3, 2
2019/12/6, 7, 10, , , 3, 2
2019/12/7, 15, 11, , , 3, 2
2019/12/8, 15, 13, , , 3, 3
2019/12/9, 16, 17, , , 3, 3
2019/12/10, 25, 19, , , 3, 3
2019/12/11, 26, 20, , , 3, 4
2019/12/12, 30, 10, , , 3, 3
2019/12/13, 13, 12, , , 3, 1
2019/12/14, 18, 14, , , 3, 2
2019/12/15, 21, 10, , , 3, 3
2019/12/16, 14, 8, , , 3, 1
2019/12/17, 11, 14, , , 3, 4
2019/12/18, 18, 12, , , 3, 3
2019/12/19, 15, 9, , , 3, 3
2019/12/20, 11, 15, , , 3, 4
2019/12/21, 19, 16, , , 3, 3
2019/12/22, 18, 13, , , 4, 3
2019/12/23, 16, 13, , , , 4
2019/12/24, 15, 17, , , 3, 5
2019/12/25, 19, 22, , , 4, 4
2019/12/26, 28, 21, , , , 3
2019/12/27, 26, 26, , , 4, 5
2019/12/28, 39, 8, , , 3, 4
2019/12/29, 9, , , , , 
2017/4/1, 15, 2, 99, , 24, 
2017/4/2, 9, 4, 88, , 24, 
2017/4/3, 16, 7, 61, , 24, 
2017/4/4, 27, 6, 61, , 24, 
2017/4/5, 23, 5, 62, , 24, 
2017/4/6, 19, 5, 55, , 24, 
2017/4/7, 20, 6, 59, , 24, 
2017/4/8, 23, 5, 56, , 24, 
2017/4/9, 18, 4, 14, , 24, 
2017/4/10, 17, 3, 50, , 24, 
2017/4/11, 12, 7, 79, , 24, 
2017/4/12, 23, 3, 59, , 24, 
2017/4/13, 12, 4, 83, , 24, 
2017/4/14, 15, , , , , 
2017/4/26, 26, , , , , 
2017/1/17, 16, , , , , 
2017/1/27, 15, 5, 70, , 22, 9
2017/1/28, 19, 4, 66, , 22, 9
